label name,label calculation
Genetics,10
Genomics,50
Graph_Mining,10
Health_Data_Sciences,2
Health_Economics,10
High_dimensional_data,70
Human_Genetics,50
outlier_detection,103
History_and_philosophy_of_science,171
Immigration,1315
Incomplete_Data,4
Inequality,1766
International_Development,1023
Clinical_data_analysis,18
Anomaly_detection,785
Bayesian_Inference,906
Algorithms,2680
Algorithms_Theory,4
Animal_breeding,529
Astronomy,2635
Autism,2330
Autoimmunity,1014
Bayesian_updating,12
Big_Data,8490
Biochemistry,14600
Biodiversity,10
Bioimage_Informatics,47
Biology,2510
Cancer,10
Cancer_genomics,20
Cell_Biology,50
Cluster_Analysis,20
Comparative_Genomics,10
Complex_Systems,2803
Complex_systems,10
Computational_Algorithms,33
Computational_Linguistics,40
Computational_biology,1530
Computational_biophysics,10
Computational_Biology,30
Computer_Science,2690
Computer_aided_drug_design,40
Computational_Oncology,44
Cancer_Biology,3270
Cancer_biology,10
Cloud,30
Comparative_genomics,10
Control_Engineering,911
Cybersecurity,10
Data_Engineering,30
Data_Management,30
Data_Sciences,224
Database,10
Datamining,527
Digital_Health,790
Distributed_Computing,1914
Drug_Discovery,40
Ecosystems_Biology,1
Electronic_Health_Records,218
Engineering,4526
Environmental_Microbiology,2150
Epigenetics,5572
Epigenomics,641
Evolution,7639
Evolutionary_Biology,3560
Experimental_Particle_Physics,150
Fluid_Physics,29
Functional_Genomics,80
Gene_Regulation,50
Gene_and_genome_duplications,1
Generative_modeling,83
Genetic_Epidemiology,565
Genome_Annotation,33
Genome_Assembly,127
Genome_Informatics,48
Genome_assembly,127
Genome_biology,10
Genome_evolution,247
Genomic_Data_Visualization,4
Genomic_Medicine,127
Geochemistry,4716
Geochemometrics,6
Global_Health,340
Automated_Reasoning,70
Computational_Photography,40
Data_Mining_and_Particle_Physics,1
Big_Data_Analytics,120
Computational_Intelligence,1891
AI,60
Antibody_engineering,240
Data_Analysis,4196
Education,18360
Evolutionary_Algorithms,861
Gene_editing,482
Geothermal_Energy,352
HCV,150
HIV,100
HPC,30
Collider_Physics,33
EMBL_EBI_Research_Group,13
Computer_Vision,3260
Cell_death,20
Cell_lines,11
Earth_System_Data_Science,1
Health_Research,10
Homology_domains,1
Human_Genome,10
Human_Level_Machine_Intelligence,4
Human_Microbiome,10
Human_Population_Genetics,85
Human_genetics,1738
Human_microbiome,238
Imbalanced_Domains,2
Immunology,4630
Bioinformatics,30
Applied_Statistics,1665
Applied_statistics,1665
Anomaly_Detection,790
Intelligent_Data_Analysis,31
Immunotherapy,2046
Infectious_diseases,6253
Intelligent_Agents,136
Isotope_Geology,67
Language_Modeling,98
Longitudinal_data_analysis,225
MHC,35
Machine_Learning,13450
Machine_learning,670
Macromolecular_Crystallography,67
Markov_Decision_Processes,88
Mathematics,540
Medical_Demography,8
Medical_Genetics,510
Medical_Informatics,400
Medical_Statistics,445
Medicine,790
Membrane_protiens,2
Mendelian_randomization,49
Metabolomics,2896
Metagenomics,1730
Microbial_Ecology,3210
Microbiome,2532
Microbiome_Science,18
Missing_Data,255
Mixture_modelling,15
Molecular_Biology,330
Multi_Agent_Systems,30
Multiobjective_optimization,250
NCD,97
Natural_Language_Processing,2810
Network_and_Pathway_Analysis,2
Network_inference,10
Networks,20
Neural_Networks,20
Neuroscience,10
Computer_Games,173
Cardiovascular_Epidemiology,131
3D_Imaging,220
CT_imaging,30
Computer_Aided_Design,488
Computer_Graphics,4538
Computer_based_education,8
Document_Image_Analysis,40
Handwriting_Recognition,99
Health_System_Innovation,4
Image_Processing,110
Information_Extraction,775
Artificial_Intelligence,1710
Bayesian_modeling,122
Bayesian_Modeling,122
Bayesian_Statistics,1473
Bayesian_inference,912
Ecology,4790
Global_Change,10
Medical_Image_Analysis,50
Causal_inference,1459
Clinical_Trials,1937
Clinical_trials,70
Clustering,698
Comparative_Effectiveness,10
Complex_Traits,10
Computational_Neuroscience,10
Computational_Social_Science,10
Control,4210
Cosmology,3226
3D_Point_Cloud_Processing,10
Data_Mining,17910
Data_Science,80
Data_Streams,115
Data_mining,600
Ensemble_Methods,34
Economics,90
Epidemiologic_Methodology,1
Epidemiology,13583
Evolutionary_Computation,650
Finance,4230
Fuzzy_Logic,1686
